IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-02037634880630287,PL,ExclusiveKG,7 sty. 2026,sales,55712168313383,23%,1,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,,
PO-162-14537325929593095,PL,ExclusiveKG,12 sty. 2026,sales,55746528071538,23%,1,PL,PL,"31,09","7,91","0,00","10,56","0,00","0,00","7,16","1,82","0,00","2,43","11,41",PLN,INV-PL-1220800-2026-79,INV-PL-1220800-2026-80
PO-162-17062096640630812,PL,ExclusiveKG,2 sty. 2026,sales,65470333998831,23%,1,PL,PL,"15,54","0,00","0,00","10,56","0,00","0,00","3,58","0,00","0,00","2,43","6,01",PLN,INV-PL-1220800-2026-16,
PO-162-20484316703352718,PL,ExclusiveKG,2 sty. 2026,return,64654290204345,23%,1,PL,PL,"-18,60","0,00","0,00","-10,56","0,00","0,00","-4,28","0,00","0,00","-2,43","-6,71",PLN,CN-PL-1220800-2026-1,
PO-162-21143169091190553,PL,ExclusiveKG,6 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-52,
PO-162-15290894569592666,PL,ExclusiveKG,4 sty. 2026,sales,56811679933856,23%,5,PL,PL,"61,05","0,00","0,00","0,00","0,00","0,00","14,05","0,00","0,00","0,00","14,05",PLN,INV-PL-1220800-2026-32,
PO-162-03693754030712158,PL,ExclusiveKG,11 sty. 2026,sales,55995636157652,23%,2,PL,PL,"35,52","0,00","0,00","10,56","0,00","0,00","8,18","0,00","0,00","2,43","10,61",PLN,INV-PL-1220800-2026-81,
PO-162-00831316485753381,PL,ExclusiveKG,15 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-100,
PO-162-01235941386870680,PL,ExclusiveKG,15 sty. 2026,sales,55746528071538,23%,2,PL,PL,"86,58","0,00","0,00","0,00","0,00","0,00","19,92","0,00","0,00","0,00","19,92",PLN,INV-PL-1220800-2026-101,
PO-162-04864077845113886,PL,ExclusiveKG,19 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-122,
PO-162-13142578028153985,PL,ExclusiveKG,24 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-169,
PO-162-07672949527673272,PL,ExclusiveKG,25 sty. 2026,sales,58718645412546,23%,2,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-163,
PO-162-02897608799350745,PL,ExclusiveKG,27 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-175,
PO-162-10045250614391932,PL,ExclusiveKG,5 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-58,
PO-162-03848759967352034,PL,ExclusiveKG,11 sty. 2026,sales,54634936842016,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-84,
PO-162-09117123520632600,PL,ExclusiveKG,13 sty. 2026,sales,54634936842016,23%,1,PL,PL,"0,66","14,34","0,00","0,00","0,00","0,00","0,15","3,30","0,00","0,00","3,45",PLN,INV-PL-1220800-2026-97,INV-PL-1220800-2026-98
PO-162-00792246408313100,PL,ExclusiveKG,15 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","0,00","0,00","0,00","4,09","0,00","0,00","0,00","4,09",PLN,INV-PL-1220800-2026-105,
PO-162-15896536191353184,PL,ExclusiveKG,20 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-133,
PO-162-10764651571831228,PL,ExclusiveKG,21 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-138,
PO-162-13378602706552320,PL,ExclusiveKG,24 sty. 2026,sales,55926916668693,23%,1,PL,PL,"9,99","0,00","0,00","0,00","0,00","0,00","2,30","0,00","0,00","0,00","2,30",PLN,INV-PL-1220800-2026-162,
PO-162-13378602706552320,PL,ExclusiveKG,24 sty. 2026,sales,59168543257461,23%,1,PL,PL,"53,28","0,00","0,00","0,00","0,00","0,00","12,26","0,00","0,00","0,00","12,26",PLN,INV-PL-1220800-2026-162,
